idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.359,3020828.439,9164254.201,7864111.513,3018331.319,9177991.167,-11239.84577,-2497.120307,13736.96607,127394237,47481320.87,238888193.9,127206358.2,47455177.93,239489252.2,-187878.7921,-26142.94162,601058.2502,0,0,1,0,0,3.116594076,0,0,172.815917,0,0,3.116594076,0,0,1234888,0,0,8377910.353,2,20,702,112.1973867
1,7875351.359,3020828.439,9164254.201,7865522.82,3018647.914,9176263.266,-9828.538792,-2180.525344,12009.06414,127394237,47481320.87,238888193.9,127229185.7,47458525.38,239395848.1,-165051.2894,-22795.48988,507654.1831,0,0,1,0,0,1.577274561,0,0,196.7039766,0,0,1.577274561,0,0,993966,0,0,7533451.101,2,20,703,56.78188419
2,7875351.359,3020828.439,9164254.201,7863413.383,3018177.754,9178842.863,-11937.97612,-2650.685685,14588.6618,127394237,47481320.87,238888193.9,127195678.9,47453392.85,239551471.5,-198558.1249,-27928.01984,663277.5347,0,0,1,0,0,4.293455124,0,0,209.4870529,0,0,4.293455124,0,0,1503667,0,0,9244725.365,2,20,704,154.5643845
3,7875351.359,3020828.439,9164254.201,7864066.587,3018320.702,9178046.71,-11284.77178,-2507.736989,13792.50877,127394237,47481320.87,238888193.9,127205895.9,47454964.42,239503796.8,-188341.0392,-26356.45342,615602.8904,0,0,1,0,0,3.619720221,0,0,183.1424303,0,0,3.619720221,0,0,1294576,0,0,8630892.181,2,20,705,130.3099279
4,7875351.359,3020828.439,9164254.201,7865096.332,3018553.067,9176784.601,-10255.02664,-2275.372523,12530.39916,127394237,47481320.87,238888193.9,127222299.6,47457524.88,239420073.4,-171937.3429,-23795.98472,531879.4536,0,0,1,0,0,2.031546831,0,0,111.5926552,0,0,2.031546831,0,0,1066690,0,0,7698773.501,2,20,706,73.13568592
5,7875351.359,3020828.439,9164254.201,7864937.4,3018518.347,9176978.253,-10413.95885,-2310.092429,12724.05128,127394237,47481320.87,238888193.9,127220032.2,47457164.4,239435555.7,-174204.8049,-24156.47306,547361.7993,0,0,1,0,0,2.646085739,0,0,136.1600761,0,0,2.646085739,0,0,1078577,0,0,7865523.167,2,20,707,95.25908661
6,7875351.359,3020828.439,9164254.201,7870220.339,3019633.538,9170580.123,-5131.019735,-1194.901784,6325.921519,127394237,47481320.87,238888193.9,127307501.2,47468350.67,239186285.5,-86735.73473,-12970.19942,298091.5251,0,0,1,0,0,4.509217262,0,0,207.6474552,0,0,4.509217262,0,0,1355951,0,0,6333409.807,2,20,709,162.3318214
7,7875351.359,3020828.439,9164254.201,7870334.825,3019674.409,9170424.766,-5016.533752,-1154.030782,6170.564534,127394237,47481320.87,238888193.9,127308901.8,47469021.43,239155259.9,-85335.16045,-12299.43566,267065.9435,0,0,1,0,0,3.310790539,0,0,162.0064659,0,0,3.310790539,0,0,928592,0,0,5532837.711,2,20,710,119.1884594
8,7875351.359,3020828.439,9164254.201,7866368.888,3018836.469,9175228.644,-8982.471459,-1991.970694,10974.44215,127394237,47481320.87,238888193.9,127243351.7,47460370.14,239348539.7,-150885.276,-20950.7257,460345.7067,0,0,1,0,0,0.909960866,0,0,35.14894724,0,0,0.909960866,0,0,916280,0,0,7220233.742,2,20,711,32.75859118
9,7875351.359,3020828.439,9164254.201,7865194.903,3018579.088,9176660.009,-10156.45605,-2249.351935,12405.80799,127394237,47481320.87,238888193.9,127223843.4,47457734.57,239406264.2,-170393.6236,-23586.30322,518070.2289,0,0,1,0,0,1.743151546,0,0,67.39588022,0,0,1.743151546,0,0,1053717,0,0,7730620.185,2,20,712,62.75345564
0,7875351.359,3020828.439,9164254.201,7865311.15,3018598.374,9176524.477,-10040.20957,-2230.065687,12270.27526,127394237,47481320.87,238888193.9,127226082.2,47457808.87,239422595.8,-168154.7388,-23512.00158,534401.8084,0,0,1,0,0,2.608882666,0,0,101.7109079,0,0,2.608882666,0,0,1215469,0,0,8074489.192,2,20,713,93.91977596
